id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,net_profit_margin_pct,operating_profit_margin_pct,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,broad_sector,sub_sector,index_weight_pct,market_cap_category,operating_activity_x,investing_activity_x,financing_activity_x,operating_activity_y,investing_activity_y,financing_activity_y,operating_activity,investing_activity,financing_activity,return_on_equity_pct,ebit,return_on_capital_employed_pct,roce_benchmark,return_on_assets_pct,debt_to_equity,interest_coverage,icr_warning,net_debt,asset_turnover,free_cash_flow_cr,capex_cr,cash_from_operations_cr,total_debt_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,icr_label,high_leverage_flag
219,AXISBANK,Mar 2013,27183,17516,8313.0,1353.0,5,6551,352,7553,31.0,5179,22.0,16.0,19.05234889452967,30.58161350844278,287,468.0,32690,296254,11145,340558,2245,142,113378,224792,340558,11.0,Financials,Private Banks,2.97,Large Cap,2573.0,-10939,14931,2573.0,-10939.0,14931,2573.0,-10939.0,14931.0,15.6191567645817,8318.0,2.525105339210472,Financial Sector Benchmark,1.52073949224508,8.93461608058387,1.2697298122424057,True,182876,0.07981900293048468,-8366.0,10939.0,2573.0,296254,22.0,70.85042735042735,16.0,,False
220,AXISBANK,Mar 2014,30641,18690,9644.0,2307.0,8,7405,364,9349,33.0,6218,26.0,15.0,20.293071374955126,31.474168597630626,288,470.0,37926,333280,14674,386350,2346,102,113093,270810,386350,11.0,Financials,Private Banks,2.97,Large Cap,14464.0,-14166,7785,14464.0,-14166.0,7785,14464.0,-14166.0,7785.0,16.194395249505156,9652.0,2.5968854593785986,Financial Sector Benchmark,1.6094215089944353,8.680070840712574,1.3034436191762322,True,220187,0.0793089167852983,298.0,14166.0,14464.0,333280,26.0,81.6936170212766,15.0,,False
221,AXISBANK,Mar 2015,35479,21254,11127.0,3097.0,9,8365,406,11057,33.0,7358,31.0,15.0,20.739028721215366,31.36221426759492,289,474.0,44475,406638,15656,467243,2447,105,118527,346164,467243,11.0,Financials,Private Banks,2.97,Large Cap,-15162.0,-7972,31045,-15162.0,-7972.0,31045,-15162.0,-7972.0,31045.0,16.369663396293575,11136.0,2.4659700124228556,Financial Sector Benchmark,1.5747694454491559,9.046652873256358,1.331261207411835,True,288111,0.07593265174652161,-23134.0,7972.0,-15162.0,406638,31.0,94.82911392405063,15.0,,False
222,AXISBANK,Mar 2016,40988,24155,13367.0,3466.0,8,9371,444,12394,34.0,8224,35.0,14.0,20.064409095344978,32.611983995315704,290,477.0,53082,472150,20678,546387,3358,216,131399,411414,546387,11.0,Financials,Private Banks,2.97,Large Cap,-34495.0,9211,22495,-34495.0,9211.0,22495,-34495.0,9211.0,22495.0,15.355029033402415,13375.0,2.5441831887983657,Financial Sector Benchmark,1.5051602618656739,8.815511865419444,1.4272756376053783,True,340751,0.07501642608627218,-25284.0,9211.0,-34495.0,472150,35.0,112.28301886792453,14.0,,False
223,AXISBANK,Mar 2017,44542,26449,23808.0,-5715.0,-13,11691,509,5468,33.0,3679,15.0,33.0,8.259620133806294,53.450675766692115,291,479.0,55901,527437,27644,611462,3518,292,129018,478633,611462,11.0,Financials,Private Banks,2.97,Large Cap,32209.0,-12458,-2487,32209.0,-12458.0,-2487,32209.0,-12458.0,-2487.0,6.525363604114934,23795.0,4.0757634669768095,Financial Sector Benchmark,0.6016727122862908,9.355037247250799,2.0353263193909847,False,398419,0.07284508276883928,19751.0,12458.0,32209.0,527437,15.0,117.7035490605428,33.0,,False
224,AXISBANK,Mar 2018,45780,27163,28895.0,-10277.0,-22,10967,568,122,-99.0,276,1.0,0.0,0.6028833551769331,63.11708169506335,292,513.0,63694,611425,28071,703703,3697,352,153037,546618,703703,11.0,Financials,Private Banks,2.97,Large Cap,-38390.0,-10007,41342,-38390.0,-10007.0,41342,-38390.0,-10007.0,41342.0,0.42985967262136526,28873.0,4.273480237762569,Financial Sector Benchmark,0.0392210918526708,9.522715591757908,2.632716330810614,False,458388,0.06505585452953874,-48397.0,10007.0,-38390.0,611425,1.0,125.1598440545809,0.0,,False
225,AXISBANK,Mar 2019,54986,33278,27155.0,-5447.0,-10,13130,710,6974,33.0,4677,18.0,6.0,8.505801476739535,49.385298075873855,293,514.0,67288,711996,34248,814046,3842,288,174056,635860,814046,11.0,Financials,Private Banks,2.97,Large Cap,37125.0,-18674,5643,37125.0,-18674.0,5643,37125.0,-18674.0,5643.0,6.898026606884752,27145.0,3.481029702563997,Financial Sector Benchmark,0.574537556845682,10.501106162060116,2.0674028941355673,False,537940,0.06754655142338394,18451.0,18674.0,37125.0,711996,18.0,131.91050583657588,6.0,,False
226,AXISBANK,Mar 2020,62635,37429,35066.0,-9859.0,-16,15537,773,4904,67.0,1627,6.0,0.0,2.5975892073122058,55.984673106090845,294,564.0,85776,797337,44194,927872,3912,483,155282,768196,927872,11.0,Financials,Private Banks,2.97,Large Cap,30416.0,-9485,8865,30416.0,-9485.0,8865,30416.0,-9485.0,8865.0,1.8844104702339586,35050.0,3.966381381432356,Financial Sector Benchmark,0.17534746171885776,9.234850590687978,2.2559052584153956,False,642055,0.06750392295489033,20931.0,9485.0,30416.0,797337,6.0,153.08510638297872,0.0,,False
227,AXISBANK,Mar 2021,63346,34107,31749.0,-2510.0,-4,12264,948,8806,25.0,6588,22.0,0.0,10.400025258106274,50.119976004799035,295,613.0,102981,850551,46859,1001005,4501,118,225336,771050,1001005,11.0,Financials,Private Banks,2.97,Large Cap,12633.0,-54288,7279,12633.0,-54288.0,7279,12633.0,-54288.0,7279.0,6.359441666505782,31745.0,3.3270624485796185,Financial Sector Benchmark,0.6581385707364099,8.210427244821128,2.588470319634703,False,625215,0.06328240118680725,-41655.0,54288.0,12633.0,850551,22.0,168.99510603588908,0.0,,False
228,AXISBANK,Mar 2022,67377,34245,29962.0,3170.0,5,15221,1008,17383,25.0,13025,42.0,2.0,19.33152262641554,44.4691808777476,296,614.0,117647,1020943,56576,1195779,4753,215,274608,916203,1195779,11.0,Financials,Private Banks,2.97,Large Cap,28137.0,-27112,47894,28137.0,-27112.0,47894,28137.0,-27112.0,47894.0,11.01377461716035,29967.0,2.6305209602494375,Financial Sector Benchmark,1.0892480968473273,8.632964375406939,1.968793114775639,False,746335,0.056345695985629454,1025.0,27112.0,28137.0,1020943,42.0,192.6074918566775,2.0,,False
