id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,year_num,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag
61,ABB,Dec 2012,1653,1451,202,12,33,0,19,215,33,145,68.0,25,2012,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
62,ABB,Mar 2014,2276,2009,267,12,49,0,22,295,33,198,93.0,25,2014,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
63,ABB,Mar 2015,2289,1977,312,14,48,0,15,344,34,229,108.0,29,2015,11.46,NORMAL,,INSUFFICIENT,,INSUFFICIENT,16.45,NORMAL,,INSUFFICIENT,,INSUFFICIENT,16.67,NORMAL,,INSUFFICIENT,,INSUFFICIENT
64,ABB,Mar 2016,2614,2250,365,14,50,3,14,398,36,255,120.0,29,2016,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
65,ABB,Mar 2017,2903,2505,398,14,57,2,16,436,37,277,130.0,31,2017,8.45,NORMAL,11.92,NORMAL,,INSUFFICIENT,11.84,NORMAL,13.82,NORMAL,,INSUFFICIENT,11.81,NORMAL,13.84,NORMAL,,INSUFFICIENT
66,ABB,Mar 2018,3298,2774,525,16,117,4,16,621,35,401,189.0,29,2018,12.95,NORMAL,,INSUFFICIENT,,INSUFFICIENT,20.53,NORMAL,,INSUFFICIENT,,INSUFFICIENT,20.51,NORMAL,,INSUFFICIENT,,INSUFFICIENT
67,ABB,Mar 2019,3679,3074,605,16,113,2,17,699,36,450,212.0,31,2019,12.07,NORMAL,10.08,NORMAL,,INSUFFICIENT,20.84,NORMAL,17.84,NORMAL,,INSUFFICIENT,20.89,NORMAL,17.92,NORMAL,,INSUFFICIENT
68,ABB,Mar 2020,4093,3336,757,18,114,9,60,803,26,593,279.0,90,2020,12.13,NORMAL,12.33,NORMAL,,INSUFFICIENT,28.88,NORMAL,20.96,NORMAL,,INSUFFICIENT,28.99,NORMAL,20.9,NORMAL,,INSUFFICIENT
69,ABB,Mar 2021,4310,3388,922,21,81,18,58,926,25,691,325.0,85,2021,9.33,NORMAL,10.52,NORMAL,,INSUFFICIENT,19.89,NORMAL,22.06,NORMAL,,INSUFFICIENT,19.8,NORMAL,22.05,NORMAL,,INSUFFICIENT
70,ABB,Mar 2022,4913,3832,1082,22,83,19,66,1080,26,799,376.0,73,2022,10.12,NORMAL,11.1,NORMAL,11.51,NORMAL,21.09,NORMAL,23.6,NORMAL,18.61,NORMAL,21.05,NORMAL,23.67,NORMAL,18.65,NORMAL
